24 Feb 2016 10:20:00:654; ----------------------------------------------------------------------------
24 Feb 2016 10:20:17:228; Test started on localhost.localdomain machine
24 Feb 2016 10:20:17:229; >Start test method: testApplication
24 Feb 2016 10:20:17:241; Execute: findElement(By.name(5)
24 Feb 2016 10:20:17:311; Execute: findElement(By.name(+)
24 Feb 2016 10:20:17:455; Execute: findElement(By.name(4)
24 Feb 2016 10:20:17:505; Execute: findElementByAccessibilityId(equals)
24 Feb 2016 10:20:17:599; Execute: findElement(By.id(com.android.calculator2:id/formula)
24 Feb 2016 10:20:17:692; Execute: waitToBeVisible(five)
24 Feb 2016 10:20:17:781; Execute: click(five)
24 Feb 2016 10:20:18:013; Execute: click(plus)
24 Feb 2016 10:20:18:673; Execute: click(four)
24 Feb 2016 10:20:19:395; Execute: click(Equal)
24 Feb 2016 10:20:20:149; Execute: getText(value)
24 Feb 2016 10:20:21:275; >Success testing method: testApplication
24 Feb 2016 10:20:21:278; $$$$ Test ended! $$$$
24 Feb 2016 10:20:21:280; ----------------------------------------------------------------------------
24 Feb 2016 10:21:30:711; ----------------------------------------------------------------------------
24 Feb 2016 10:21:46:380; Test started on localhost.localdomain machine
24 Feb 2016 10:21:46:381; >Start test method: testHybridApp
24 Feb 2016 10:21:46:391; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 10:21:46:433; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 10:21:46:460; Execute: waitToBeVisible(urlField)
24 Feb 2016 10:21:46:501; Execute: waitToBeVisible(goButton)
24 Feb 2016 10:21:46:519; Execute: sendKeys( urlField)
24 Feb 2016 10:21:51:660; Execute: click(goButton)
24 Feb 2016 10:21:53:473; context = NATIVE_APP
24 Feb 2016 10:21:53:473; context = WEBVIEW_com.example.testapp
24 Feb 2016 10:22:00:233; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
24 Feb 2016 10:22:00:233; Execute: hideKeyboard()
24 Feb 2016 10:22:01:493; Execute: findElement(By.name(q)
24 Feb 2016 10:22:02:100; Execute: waitToBeVisible(searchField)
24 Feb 2016 10:22:02:180; Execute: sendKeys(searchField)
24 Feb 2016 10:22:04:231; Execute: sendKeys( searchField)
24 Feb 2016 10:22:07:962; context = NATIVE_APP
24 Feb 2016 10:22:07:962; context = WEBVIEW_com.example.testapp
24 Feb 2016 10:22:08:114; Execute: switchContentToNative(NATIVE_APP)
24 Feb 2016 10:22:08:114; Execute: clear(urlField)
24 Feb 2016 10:22:14:404; Execute: waitToBeVisible(urlField)
24 Feb 2016 10:22:14:495; Execute: waitToBeVisible(goButton)
24 Feb 2016 10:22:14:532; Execute: sendKeys( urlField)
24 Feb 2016 10:22:20:211; Execute: click(goButton)
24 Feb 2016 10:22:21:065; context = NATIVE_APP
24 Feb 2016 10:22:21:065; context = WEBVIEW_com.example.testapp
24 Feb 2016 10:22:25:323; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
24 Feb 2016 10:22:25:324; Execute: findElement(By.name(q)
24 Feb 2016 10:22:25:382; Execute: waitToBeVisible(searchField)
24 Feb 2016 10:22:25:500; Execute: sendKeys(searchField)
24 Feb 2016 10:22:26:901; Execute: sendKeys( searchField)
24 Feb 2016 10:22:28:428; >Success testing method: testHybridApp
24 Feb 2016 10:22:28:430; $$$$ Test ended! $$$$
24 Feb 2016 10:22:28:430; ----------------------------------------------------------------------------
